system:index,ET_mm_mes,Pozo,anio,fecha,mes,.geo
7_00000000000000000003,129.4,3,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
7_00000000000000000004,129.4,4,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
7_00000000000000000005,129.4,5,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
7_00000000000000000006,129.4,6,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
7_00000000000000000007,128.0,7,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
7_00000000000000000008,128.0,8,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
7_00000000000000000009,131.7,9,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
7_0000000000000000000a,122.2,10,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
7_0000000000000000000b,122.2,11,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
7_0000000000000000000c,125.89999999999999,13,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
7_0000000000000000000d,131.9,14,2021,2021-05-01,5,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
8_00000000000000000000,121.9,1,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
8_00000000000000000001,116.4,2A,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
8_00000000000000000002,121.9,2B,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
8_00000000000000000003,121.9,3,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
8_00000000000000000004,121.9,4,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
8_00000000000000000005,121.9,5,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
8_00000000000000000006,121.9,6,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
8_00000000000000000007,117.4,7,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
8_00000000000000000008,117.4,8,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
8_00000000000000000009,117.5,9,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
8_0000000000000000000a,113.4,10,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
8_0000000000000000000b,113.4,11,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
8_0000000000000000000c,116.4,13,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
8_0000000000000000000d,115.4,14,2021,2021-06-01,6,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
9_00000000000000000000,110.30000000000001,1,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
9_00000000000000000001,109.5,2A,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
9_00000000000000000002,110.30000000000001,2B,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
9_00000000000000000003,110.30000000000001,3,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
9_00000000000000000004,110.30000000000001,4,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
9_00000000000000000005,110.30000000000001,5,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
9_00000000000000000006,110.30000000000001,6,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
9_00000000000000000007,116.80000000000001,7,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
9_00000000000000000008,116.80000000000001,8,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
9_00000000000000000009,126.50000000000001,9,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
9_0000000000000000000a,111.70000000000002,10,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
9_0000000000000000000b,111.70000000000002,11,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
9_0000000000000000000c,109.5,13,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
9_0000000000000000000d,111.80000000000001,14,2021,2021-07-01,7,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
10_00000000000000000000,112.9,1,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
